Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1979,1,10,21,28,0,-94.38,15.88,0,108,0,0,0,4.3,132,0,0,0,0,0,0,0,0,5,165
1979,1,20,5,29,58,-112.282,25.349,0,15,0,4.6,120,0,0,0,0,0,0,0,0,0,0,4.9,166
1979,1,26,1,17,38,-111.876,24.469,0,33,0,5,120,0,0,0,0,0,0,0,0,0,0,5.4,166
1979,1,26,10,4,32,-100.88,17.41,7,41,7,0,0,6.9,7,0,0,6.6,78,0,0,0,0,6.6,164
1979,1,26,17,45,0,-101.2,16.222,0,33,0,4.8,120,0,0,0,0,0,0,0,0,0,0,5.1,166
1979,1,28,2,22,53,-98.107,16.849,0,55.8,0,5.1,124,0,0,0,0,0,0,0,0,0,0,5.5,166
1979,2,12,12,8,58.9,-100.313,15.137,0,33,0,4.2,128,0,0,0,0,0,0,0,0,0,0,4.3,166
1979,2,17,9,40,30,-111.911,28.451,0,15,0,4.7,120,0,0,0,0,0,0,0,0,0,0,5,166
1979,2,22,9,16,35,-100.273,19.957,0,34.5,0,5.3,124,0,0,0,0,0,0,0,0,0,0,5.8,166
1979,2,22,22,53,18.9,-112.374,27.696,0,15,0,5.3,128,0,0,0,0,0,0,0,0,0,0,5.8,166
1979,2,27,7,41,57.7,-111.917,27.27,0,15,0,4.2,128,0,0,0,0,0,0,0,0,0,0,4.3,166
1979,3,2,19,6,0,-109.73,18.62,0,33,0,0,0,4.3,132,0,0,0,0,0,0,0,0,5,165
1979,3,3,5,34,21.8,-108.161,18.043,0,10,0,4.3,128,0,0,0,0,0,0,0,0,0,0,4.4,166
1979,3,7,16,58,49.8,-88.762,14.626,0,66,0,4.9,128,0,0,0,0,0,0,0,0,0,0,5.3,166
1979,3,7,16,58,50,-89.297,14.371,0,86.3,0,4.9,124,0,0,0,0,0,0,0,0,0,0,5.3,166
1979,3,14,11,7,15,-101.46,17.46,7; 15; 54,20,15; 13; 92,0,0,7.6,7; 20; 54; 4; 43,7.4,13,7.4,78,0,0,0,0,7.4,164
1979,3,14,13,5,0,-101.121,15.119,0,1,0,4.9,124,0,0,0,0,0,0,0,0,0,0,5.3,166
1979,3,14,13,5,14.5,-100.602,16.48,0,33,0,4.9,128,0,0,0,0,0,0,0,0,0,0,5.3,166
1979,3,14,21,34,32.1,-100.576,19.168,0,38,0,4.4,128,0,0,0,0,0,0,0,0,0,0,4.6,166
1979,3,15,7,54,4,-87.482,13.897,0,33,0,4.8,124,0,0,0,0,0,0,0,0,0,0,5.1,166
1979,3,23,17,21,55.4,-110.806,26.74,0,15,0,0,0,5.6,132,0,0,0,0,0,0,0,0,5.7,165
1979,3,28,13,33,53,-100.595,17.154,0,99,0,4.5,124,0,0,0,0,0,0,0,0,0,0,4.7,166
1979,3,31,0,28,0,-92.72,14.56,0,96,0,0,0,6,132,0,0,0,0,0,0,0,0,6,165
1979,3,31,21,37,0.1,-117.297,31.975,0,6,0,0,0,0,0,0,0,0,0,0,0,4.6,155,4.6,168
1979,4,9,7,30,51,-88.94,13.72,0,141.1,0,4.9,124,0,0,0,0,0,0,0,0,0,0,5.3,166
1979,5,5,19,57,45,-94.574,18.061,0,55.5,0,4.1,120,0,0,0,0,0,0,0,0,0,0,4.2,166
1979,5,27,5,51,22,-111.301,27.402,0,1,0,4.4,120,0,0,0,0,0,0,0,0,0,0,4.6,166
1979,6,4,6,26,42.7,-93.596,15.684,0,80,0,5.7,128,0,0,0,0,0,0,0,0,0,0,6.3,166
1979,6,11,9,26,0,-108.16,20.32,0,33,0,0,0,3.1,132,0,0,0,0,0,0,0,0,4.7,165
1979,6,12,16,0,0,-93.316,21.876,0,33,0,4.4,120,0,0,0,0,0,0,0,0,0,0,4.6,166
1979,6,22,6,30,57,-94.73,16.99,64,85,64,6.5,64,0,0,0,0,6.9,43,0,0,0,0,6.9,164
1979,6,23,9,10,51.6,-104.667,16.143,0,144,0,4.6,128,0,0,0,0,0,0,0,0,0,0,4.9,166
1979,6,29,20,23,44,-102.481,17.724,0,83.5,0,4.4,120,0,0,0,0,0,0,0,0,0,0,4.6,166
1979,7,10,13,59,27,-108.749,22.035,0,15,0,4.4,120,0,0,0,0,0,0,0,0,0,0,4.6,166
1979,7,10,14,2,47,-108.386,25.434,0,95.9,0,4.9,120,0,0,0,0,0,0,0,0,0,0,5.3,166
1979,7,21,3,53,18,-97.055,17.579,0,74.5,0,4.8,124,0,0,0,0,0,0,0,0,0,0,5.1,166
1979,7,21,12,12,11,-93.368,13.984,0,11,0,5.7,124,0,0,0,0,0,0,0,0,0,0,6.3,166
1979,9,17,17,47,29.2,-108.567,19.177,0,33,0,4.5,128,0,0,0,0,0,0,0,0,0,0,4.7,166
1979,9,19,4,34,39,-108.187,17.11,0,10,0,4.2,124,0,0,0,0,0,0,0,0,0,0,4.3,166
1979,10,1,14,14,0.5,-92.2,15.761,0,164.3,0,5.3,120,5.4,131,0,0,6.2,157,0,0,0,0,6.2,164
1979,10,3,8,20,32,-109.026,23.159,0,33,0,4.6,120,0,0,0,0,0,0,0,0,0,0,4.9,166
1979,10,8,6,0,23.2,-108.894,24.234,0,15,0,5,128,0,0,0,0,0,0,0,0,0,0,5.4,166
1979,10,9,7,49,29.2,-90.082,14.321,0,33,0,5,128,0,0,0,0,0,0,0,0,0,0,5.4,166
1979,10,15,23,16,54.5,-115.33,32.63,65,12,65,6.8,65,5.6,65,0,0,6.5,78,0,0,0,0,6.5,164
1979,10,16,1,0,8,-115.733,32.026,0,5,0,4.6,120,0,0,0,0,0,0,0,0,0,0,4.9,166
1979,10,16,6,55,23,-115.18,32.167,0,5,0,4.3,124,0,0,0,0,0,0,0,0,0,0,4.4,166
1979,10,27,14,35,56.3,-90.86,13.87,65,50,65,0,0,5.5,65,0,0,6.8,78,0,0,6.4,65,6.8,164
1979,10,27,14,35,59,-90.832,13.826,0,56.3,0,5.7,120,6.8,131,0,0,6.9,157,0,0,0,0,6.9,164
1979,10,27,21,43,23.3,-90.61,13.79,65,50,65,0,0,5.4,65,0,0,6.8,78,0,0,6.6,65,6.8,164
1979,10,29,6,22,42,-93.861,17.775,0,177.1,0,4.7,120,0,0,0,0,0,0,0,0,0,0,5,166
1979,12,16,10,17,35.6,-115.426,31.399,0,6,0,0,0,0,0,0,0,0,0,0,0,4.1,155,4.1,168
1980,1,7,16,55,48.7,-105.785,17.579,0,10,0,4.6,128,0,0,0,0,0,0,0,0,0,0,4.9,166
1980,1,7,18,53,27,-105.267,16.866,0,10,0,4.9,124,0,0,0,0,0,0,0,0,0,0,5.3,166
1980,1,26,3,30,58,-109.172,18.858,0,33,0,4,120,0,0,0,0,0,0,0,0,0,0,4,166
1980,1,26,16,6,51,-101.318,15.6,0,33,0,4.6,128,0,0,0,0,0,0,0,0,0,0,4.9,166
1980,1,29,19,49,0,-116.319,31.943,0,5,0,0,0,0,0,0,0,0,0,0,0,4.4,149,4.4,168
1980,2,2,13,9,48.3,-98.431,16.18,0,33,0,4.9,128,0,0,0,0,0,0,0,0,0,0,5.3,166
1980,2,25,10,31,0,-94.48,14.29,0,40,0,0,0,3.7,132,0,0,0,0,0,0,0,0,4.8,165
1980,3,4,6,25,39.7,-88.366,13.027,0,73,0,5.2,128,0,0,0,0,0,0,0,0,0,0,5.7,166
1980,3,18,11,29,47.8,-112.714,31,0,6,0,0,0,0,0,0,0,0,0,0,0,4.4,155,4.3,168
1980,3,18,11,35,56.7,-112.5,29.406,0,6,0,0,0,0,0,0,0,0,0,0,0,4.1,155,4.1,168
1980,3,18,12,50,27.1,-113,30,0,6,0,0,0,0,0,0,0,0,0,0,0,4.2,155,4.2,168
1980,3,29,13,31,22.9,-95.579,15.46,0,31,0,4.9,128,0,0,0,0,0,0,0,0,0,0,5.3,166
1980,4,4,19,51,38,-89.989,14.934,0,33,0,4.6,120,0,0,0,0,0,0,0,0,0,0,4.9,166
1980,5,12,7,45,50.2,-114,29,0,6,0,0,0,0,0,0,0,0,0,0,0,4.5,155,4.4,168
1980,5,15,9,14,9,-114.02,30.763,0,15,0,4.4,124,0,0,0,0,0,0,0,0,0,0,4.6,166
1980,5,15,9,14,12,-113.769,31.23,0,15,0,4.4,128,0,0,0,0,0,0,0,0,0,0,4.6,166
1980,5,18,7,9,39,-91.271,14.729,0,103.4,0,5.3,120,5,131,0,0,5.9,157,0,0,0,0,5.9,164
1980,5,21,3,5,43,-101.437,19.443,0,5,0,4.4,120,0,0,0,0,0,0,0,0,0,0,4.6,166
1980,5,25,5,42,0,-91.62,17.45,0,33,0,0,0,3.3,132,0,0,0,0,0,0,0,0,4.7,165
1980,5,25,5,42,56,-92.308,17.2,0,42.4,0,4.6,120,0,0,0,0,0,0,0,0,0,0,4.9,166
1980,6,2,19,17,13.7,-105.109,17.826,0,36,0,4.6,128,0,0,0,0,0,0,0,0,0,0,4.9,166
1980,6,4,7,7,0,-88.11,14.29,0,33,0,0,0,3.1,132,0,0,0,0,0,0,0,0,4.7,165
1980,6,12,11,41,42,-102.915,13.941,0,33,0,4.4,120,0,0,0,0,0,0,0,0,0,0,4.6,166
1980,6,13,1,4,41,-109.978,26.093,0,32.9,0,4.9,120,0,0,0,0,5.5,157,0,0,0,0,5.5,164
1980,7,4,9,15,0,-95.026,17.921,0,119,0,4.3,128,0,0,0,0,0,0,0,0,0,0,4.4,166
1980,7,24,15,6,0,-112.44,27.53,0,10,0,0,0,3.1,132,0,0,0,0,0,0,0,0,4.7,165
1980,8,5,20,26,11.7,-105.116,14.875,0,10,0,0,0,5,132,0,0,0,0,0,0,0,0,5.3,165
1980,8,9,5,45,7,-88.521,15.931,0,9.3,0,6.1,124,0,0,0,0,0,0,0,0,0,0,6.9,166
1980,8,14,6,27,0,-95,16.1,0,5,0,0,0,0,0,0,0,0,0,0,0,6,150,6.1,168
1980,8,19,18,5,58,-99.492,16.846,0,1,0,0,0,0,0,0,0,0,0,0,0,5.2,150,5.2,168
1980,8,30,4,17,22,-113.648,29.546,0,14.7,0,5,120,5.4,131,0,0,0,0,0,0,0,0,5.6,165
1980,9,1,11,34,55.7,-113.194,31.176,0,15,0,4.4,128,0,0,0,0,0,0,0,0,0,0,4.6,166
1980,9,2,10,28,0,-88.5,14.7,0,33,0,0,0,4.8,132,0,0,0,0,0,0,0,0,5.2,165
1980,9,27,11,56,59,-103.4,17.7,0,5,0,0,0,0,0,0,0,0,0,0,0,5.5,150,5.5,168
1980,9,29,2,53,14,-102.6,19.7,0,20,0,0,0,0,0,0,0,0,0,0,0,4.5,150,4.5,168
1980,10,24,14,53,35,-98.2,17.9,2; 66,65,27; 66,6.4,43,7,12; 27,0,0,0,0,0,0,0,0,7.2,165
1980,10,29,14,53,23,-114.501,28.939,0,15,0,4.4,124,0,0,0,0,0,0,0,0,0,0,4.6,166
1980,11,1,22,52,20,-107.877,18.861,0,15,0,5.5,120,6.3,131,0,0,6.4,157,0,0,0,0,6.4,164
1980,11,5,10,2,5,-96.5,17.3,0,50,0,0,0,0,0,0,0,0,0,0,0,4.4,150,4.4,168
1980,11,13,2,41,18,-99.254,15.578,0,5,0,0,0,0,0,0,0,0,0,0,0,5.8,150,5.8,168
1980,11,14,6,54,30,-109.204,19.716,0,33,0,4.3,120,0,0,0,0,0,0,0,0,0,0,4.4,166
1980,11,21,22,49,38,-99.2,20.3,0,5,0,0,0,0,0,0,0,0,0,0,0,4.8,150,4.8,168
1980,11,22,3,45,41,-100.157,19.84,0,5,0,0,0,0,0,0,0,0,0,0,0,5.1,150,5.1,168
1980,11,23,21,26,5,-96.3,16.5,0,213,0,0,0,0,0,0,0,0,0,0,0,4.6,150,4.6,168
1980,12,18,14,26,20,-98.182,15.337,0,13,0,0,0,0,0,0,0,0,0,0,0,6,150,6.1,168
1980,12,20,0,10,37,-99.6,14.9,0,11,0,0,0,0,0,0,0,0,0,0,0,5.4,150,5.4,168
1980,12,24,2,27,20,-111.858,28.073,0,15,0,5.1,120,0,0,0,0,0,0,0,0,0,0,5.5,166
1980,12,24,6,52,8,-98.828,18.924,0,15,0,0,0,0,0,0,0,0,0,0,0,4.4,150,4.4,168
1980,12,26,20,36,2,-99.5,18.3,0,3,0,0,0,0,0,0,0,0,0,0,0,5.5,150,5.5,168
1980,12,28,20,39,53,-99.845,17.471,0,3,0,0,0,0,0,0,0,0,0,0,0,5.6,150,5.6,168
1980,12,30,18,12,9,-98.7,14.098,0,10,0,0,0,0,0,0,0,0,0,0,0,4.8,150,4.8,168
1980,12,31,23,17,24,-99.475,19.134,0,4,0,0,0,0,0,0,0,0,0,0,0,4.5,150,4.5,168
1981,1,4,6,21,50,-101.5,16.8,0,18,0,0,0,0,0,0,0,0,0,0,0,5.7,150,5.7,168
1981,1,8,20,13,41,-98.034,17.427,0,70,0,0,0,0,0,0,0,0,0,0,0,4.7,150,4.7,168
1981,1,14,2,33,33,-95.76,17.566,0,143.1,0,0,0,0,0,0,0,0,0,0,0,5.3,150,5.3,168
1981,1,14,16,21,14,-94.9,15.1,0,5,0,0,0,0,0,0,0,0,0,0,0,6,150,6.1,168
1981,1,21,18,10,46,-116.206,29.247,0,15,0,4.7,124,0,0,0,0,0,0,0,0,0,0,5,166
1981,1,29,6,20,32.4,-91.607,13.026,0,33,0,4.6,128,0,0,0,0,0,0,0,0,0,0,4.9,166
1981,1,31,21,58,42.3,-110.973,26.821,0,15,0,4.6,128,0,0,0,0,0,0,0,0,0,0,4.9,166
1981,2,7,5,37,14,-105.592,20.548,0,88.5,0,4.7,120,0,0,0,0,0,0,0,0,0,0,5,166
1981,2,14,1,8,42,-96.357,15.86,0,54.9,0,5.1,120,0,0,0,0,0,0,0,0,0,0,5.5,166
1981,2,14,3,10,46,-96.513,14.923,0,33,0,0,0,0,0,0,0,0,0,0,0,5.3,150,5.3,168
1981,2,18,5,41,13.5,-105.732,17.98,0,33,0,4.4,128,0,0,0,0,0,0,0,0,0,0,4.6,166
1981,2,21,1,54,48,-103,18.4,0,10,0,0,0,0,0,0,0,0,0,0,0,5.1,150,5.1,168
1981,2,23,21,11,9,-93.167,14.821,0,1,0,5.2,120,0,0,0,0,0,0,0,0,0,0,5.7,166
1981,3,5,5,49,8,-86.716,16.353,0,33,0,4.9,120,0,0,0,0,0,0,0,0,0,0,5.3,166
1981,3,6,10,10,41,-100.8,14.8,0,11,0,0,0,0,0,0,0,0,0,0,0,4.7,150,4.7,168
1981,3,7,5,38,34,-110.181,24.829,0,33,0,4.8,120,0,0,0,0,0,0,0,0,0,0,5.1,166
1981,3,8,10,55,0,-92.65,15.27,0,110,0,0,0,3.1,132,0,0,0,0,0,0,0,0,4.7,165
1981,3,9,22,38,51,-103.948,18.819,0,53.3,0,5.7,124,0,0,0,0,0,0,0,0,0,0,6.3,166
1981,4,2,16,47,59,-100.5,20.3,0,48,0,0,0,0,0,0,0,0,0,0,0,4.2,150,4.1,168
1981,4,2,19,33,19,-108.692,18.656,0,10,0,4.6,124,0,0,0,0,0,0,0,0,0,0,4.9,166
1981,4,6,4,50,0,-106.53,18.39,0,33,0,0,0,4.1,132,0,0,0,0,0,0,0,0,4.9,165
1981,4,7,21,35,16,-97.226,15.821,0,5,0,0,0,0,0,0,0,0,0,0,0,5.4,150,5.4,168
1981,5,2,12,54,49,-102.7,17.7,0,10,0,0,0,0,0,0,0,0,0,0,0,4.9,150,4.9,168
1981,5,21,4,22,6,-96.05,16.931,0,15,0,4.7,120,0,0,0,0,0,0,0,0,0,0,5,166
1981,5,22,14,30,0.3,-105.257,19.91,0,25,0,4.8,120,0,0,0,0,0,0,0,0,0,0,5.1,166
1981,5,23,8,3,23,-97.736,14.619,0,5,0,4.9,120,0,0,0,0,0,0,0,0,0,0,5.3,166
1981,5,30,5,8,33.4,-108.744,25.558,0,10,0,4.5,128,0,0,0,0,0,0,0,0,0,0,4.7,166
1981,6,1,15,12,50,-107.075,18.797,0,42,0,5.3,120,6,131,0,0,6.2,157,0,0,0,0,6.2,164
1981,6,10,17,6,14,-114.873,28.123,0,10,0,4.8,120,0,0,0,0,0,0,0,0,0,0,5.1,166
1981,6,11,18,34,22.1,-86.084,16.795,0,15,0,0,0,0,0,0,0,5.9,159,0,0,0,0,5.9,164
1981,6,13,4,39,49,-100.447,18.92,0,102.3,0,4.4,120,0,0,0,0,0,0,0,0,0,0,4.6,166
1981,7,4,5,30,50,-96.64,17.836,0,71,0,4.8,124,0,0,0,0,0,0,0,0,0,0,5.1,166
1981,7,24,11,38,50,-116.468,32.003,0,24.9,0,4.5,120,0,0,0,0,0,0,0,0,0,0,4.7,166
1981,7,26,5,14,21.8,-102.01,17.79,67,21,67,5.3,67,5.2,67,0,0,0,0,0,0,6.5,67,6.6,165
1981,7,28,11,40,0,-93.84,15.79,0,33,0,0,0,3.1,132,0,0,0,0,0,0,0,0,4.7,165
1981,7,28,20,33,40,-93.916,13.566,0,33,0,4.8,120,0,0,0,0,0,0,0,0,0,0,5.1,166
1981,8,14,11,57,25,-101.058,15.719,0,5,0,0,0,0,0,0,0,0,0,0,0,5.3,150,5.3,168
1981,8,17,2,18,57,-93.782,14.434,0,22.9,0,5.6,124,0,0,0,0,0,0,0,0,0,0,6.2,166
1981,8,31,10,34,4.8,-93.14,16.736,0,183.6,0,4.2,128,0,0,0,0,0,0,0,0,0,0,4.3,166
1981,9,1,17,28,43,-109.145,21.004,0,10,0,4.4,124,0,0,0,0,0,0,0,0,0,0,4.6,166
1981,9,1,21,26,52,-109.209,20.42,0,10,0,4,124,0,0,0,0,0,0,0,0,0,0,4,166
1981,9,28,20,10,5,-94.697,13.687,0,33,0,4.7,124,0,0,0,0,0,0,0,0,0,0,5,166
1981,10,1,9,11,42,-100.7,16.3,0,5,0,0,0,0,0,0,0,0,0,0,0,5.3,150,5.3,168
1981,10,2,23,0,44,-104.514,18.01,0,57.1,0,5.2,124,0,0,0,0,0,0,0,0,0,0,5.7,166
1981,10,7,0,44,16,-100.011,18.574,0,16.8,0,0,0,0,0,0,0,0,0,0,0,4.2,150,4.1,168
1981,10,9,4,9,41,-108.821,23.831,0,27.1,0,5.3,120,0,0,0,0,0,0,0,0,0,0,5.8,166
1981,10,22,0,1,16,-101.6,15.5,0,38,0,0,0,0,0,0,0,0,0,0,0,4.8,150,4.8,168
1981,10,22,0,4,42,-102.6,16,0,5,0,0,0,0,0,0,0,0,0,0,0,5.1,150,5.1,168
1981,10,25,3,22,13,-102.25,17.75,7; 15,20,7; 13; 94,0,0,7.3,7; 13; 4; 43,0,0,7.2,78,0,0,0,0,7.2,164
1981,10,29,19,30,47,-114.029,30.596,0,10,0,4.9,124,0,0,0,0,0,0,0,0,0,0,5.3,166
1981,10,29,19,31,1.2,-113.254,31.688,0,10,0,4.9,128,0,0,0,0,0,0,0,0,0,0,5.3,166
1981,12,5,1,12,46.3,-105.216,20.885,0,33,0,4.5,128,0,0,0,0,0,0,0,0,0,0,4.7,166
1981,12,17,22,56,29.1,-93.704,16.232,0,118.8,0,4.5,128,0,0,0,0,0,0,0,0,0,0,4.7,166
1981,12,24,8,8,39,-100.609,17.548,0,81.2,0,4.7,120,0,0,0,0,0,0,0,0,0,0,5,166
1981,12,30,20,32,36,-90.632,13.511,0,33,0,4.6,128,0,0,0,0,0,0,0,0,0,0,4.9,166
1982,1,2,7,5,53,-100.136,16.724,0,19,0,5.4,124,0,0,0,0,0,0,0,0,0,0,5.9,166
1982,1,2,11,15,58,-105.495,16.298,0,33,0,4.8,120,0,0,0,0,0,0,0,0,0,0,5.1,166
1982,1,8,3,30,21,-112.645,29.438,0,10,0,4.8,120,0,0,0,0,0,0,0,0,0,0,5.1,166
1982,1,12,5,48,18,-87.556,13.155,0,9.9,0,5.8,124,0,0,0,0,0,0,0,0,0,0,6.5,166
1982,1,12,15,55,48,-103,16.7,0,5,0,0,0,0,0,0,0,0,0,0,0,5.1,150,5.1,168
1982,1,13,1,34,31,-85.764,16.066,0,33,0,4.8,120,0,0,0,0,0,0,0,0,0,0,5.1,166
1982,2,1,4,15,39,-89.793,14.7,0,33,0,4.4,120,0,0,0,0,0,0,0,0,0,0,4.6,166
1982,2,2,9,28,33.7,-109.508,25.828,0,10,0,5.2,128,0,0,0,0,0,0,0,0,0,0,5.7,166
1982,2,7,19,18,19,-113.106,29.016,0,25.2,0,4.9,120,5.7,131,0,0,0,0,0,0,0,0,5.8,165
1982,2,18,5,11,21,-108.613,19.218,0,10,0,4.8,120,0,0,0,0,0,0,0,0,0,0,5.1,166
1982,2,20,21,50,55.3,-108.787,24.855,0,10,0,0,0,5.1,132,0,0,0,0,0,0,0,0,5.4,165
1982,2,27,11,55,22,-100.718,18.158,0,5,0,0,0,0,0,0,0,0,0,0,0,4.2,150,4.1,168
1982,2,28,8,36,25,-91.797,15.441,0,181.7,0,4.9,124,0,0,0,0,0,0,0,0,0,0,5.3,166
1982,3,1,19,0,3,-92.622,16.472,0,237.8,0,5.1,124,0,0,0,0,0,0,0,0,0,0,5.5,166
1982,3,16,6,41,2.9,-93.724,15.248,0,71.2,0,5.1,128,0,0,0,0,0,0,0,0,0,0,5.5,166
1982,3,21,9,39,0,-101.02,25.23,0,33,0,0,0,3.3,132,0,0,0,0,0,0,0,0,4.7,165
1982,3,21,9,39,29,-100.936,25.913,0,108.4,0,4.5,120,0,0,0,0,0,0,0,0,0,0,4.7,166
1982,3,28,4,46,28,-96.693,16.825,0,92.2,0,4.4,124,0,0,0,0,0,0,0,0,0,0,4.6,166
1982,4,4,11,37,53,-92.797,17.506,0,33,0,4.2,120,0,0,0,0,0,0,0,0,0,0,4.3,166
1982,4,6,19,56,53,-92.51,14.13,68,65,68,6,68,6.5,68,0,0,6.7,78; 91,0,0,0,0,6.7,164
1982,4,27,0,14,0.2,-87.668,14.6,0,19.4,0,4.9,120,4.7,131,0,0,5.4,157,0,0,0,0,5.4,164
1982,4,29,14,22,33.8,-109.265,19.28,0,10,0,5,128,0,0,0,0,0,0,0,0,0,0,5.4,166
1982,5,1,2,7,0,-89.46,15.33,0,33,0,0,0,4.1,132,0,0,0,0,0,0,0,0,4.9,165
1982,5,1,2,7,49,-90.274,15.522,0,33,0,4.9,124,0,0,0,0,0,0,0,0,0,0,5.3,166
1982,5,5,12,0,41.8,-107.241,22.085,0,33,0,4.4,128,0,0,0,0,0,0,0,0,0,0,4.6,166
1982,5,8,5,17,20,-97.866,19.201,0,5,0,4.7,120,0,0,0,0,0,0,0,0,0,0,5,166
1982,5,16,20,19,34,-100.2,15.1,0,5,0,0,0,0,0,0,0,0,0,0,0,4.2,150,4.1,168
1982,5,25,12,45,23,-115.798,31.035,0,16,0,0,0,0,0,0,0,0,0,0,0,4.5,149,4.5,168
1982,5,28,13,2,59,-115.728,31.735,0,6,0,0,0,0,0,0,0,0,0,0,0,4.4,149,4.4,168
1982,6,7,6,52,33,-98.36,16.18,68,18,68,5.9,68,6.9,68,0,0,6.9,78,0,0,0,0,6.9,164
1982,6,7,6,52,33.7,-98.37,16.35,2; 15,20,15; 95,0,0,6.9,15; 4; 41; 43,0,0,6.9,78,0,0,0,0,6.9,164
1982,6,7,10,59,40.1,-98.54,16.4,2; 15,15,15; 13; 95,0,0,7,15; 13; 4; 41; 43,0,0,6.9,78,0,0,0,0,6.9,164
1982,6,8,8,4,21,-98.701,14.875,0,33,0,4.4,124,0,0,0,0,0,0,0,0,0,0,4.6,166
1982,6,19,6,21,58,-89.31,13.338,0,72.8,0,6,120,0,0,0,0,7.3,161,0,0,0,0,7.3,164
1982,6,29,22,36,29,-95.149,18.311,0,21.5,0,4.7,120,0,0,0,0,0,0,0,0,0,0,5,166
1982,6,30,15,8,37,-97.162,15.801,0,30.6,0,4.7,124,0,0,0,0,0,0,0,0,0,0,5,166
1982,7,5,23,19,2,-86.945,17.231,0,33,0,4.3,120,0,0,0,0,0,0,0,0,0,0,4.4,166
1982,7,6,10,32,17,-103.071,17.439,0,10,0,0,0,0,0,0,0,0,0,0,0,4.9,150,4.9,168
1982,7,8,15,41,17.4,-112.237,27.475,0,10,0,4.9,128,0,0,0,0,0,0,0,0,0,0,5.3,166
1982,7,14,13,14,53.3,-94.615,18.16,0,22.1,0,4.1,128,0,0,0,0,0,0,0,0,0,0,4.2,166
1982,8,16,7,42,28,-102.6,17.5,0,5,0,0,0,0,0,0,0,0,0,0,0,4.3,150,4.2,168
1982,9,5,5,21,26.4,-115.845,32.938,0,10.6,0,0,0,0,0,0,0,0,0,0,0,4.1,155,4.1,168
1982,9,7,5,21,0,-99.43,15.14,0,25,0,0,0,3.1,132,0,0,0,0,0,0,0,0,4.7,165
1982,9,21,13,27,8.4,-97.727,15.162,0,33,0,4.1,128,0,0,0,0,0,0,0,0,0,0,4.2,166
1982,9,29,5,50,32.3,-89.121,14.487,0,12,0,5.5,128,0,0,0,0,0,0,0,0,0,0,6.1,166
1982,9,29,12,5,51,-108.431,22.549,0,10,0,4.7,120,0,0,0,0,0,0,0,0,0,0,5,166
1982,10,6,19,50,51.7,-101.214,17.381,0,41.4,0,5,128,0,0,0,0,0,0,0,0,0,0,5.4,166
1982,10,18,22,43,14,-101.7,16.3,0,10,0,0,0,0,0,0,0,0,0,0,0,4.5,150,4.5,168
1982,10,21,20,52,3,-91.05,15.012,0,35.3,0,4.8,120,0,0,0,0,0,0,0,0,0,0,5.1,166
1982,10,25,13,33,8.2,-95.776,14.461,0,33,0,4.5,128,0,0,0,0,0,0,0,0,0,0,4.7,166
1982,10,25,14,56,0,-106.14,17.31,0,33,0,0,0,4.4,132,0,0,0,0,0,0,0,0,5,165
1982,10,25,15,55,18.8,-105.992,18.438,0,33,0,5.2,128,0,0,0,0,0,0,0,0,0,0,5.7,166
1982,10,29,2,12,20,-98.431,15.461,0,33,0,4.6,120,0,0,0,0,0,0,0,0,0,0,4.9,166
1982,10,31,6,3,0.3,-90.288,14.072,0,96.6,0,5.3,120,0,0,0,0,6.2,157,0,0,0,0,6.2,164
1982,11,17,9,6,23,-96.904,14.996,0,50.7,0,4.2,128,0,0,0,0,0,0,0,0,0,0,4.3,166
1982,11,23,22,16,18,-95.4,17.7,0,90,0,0,0,0,0,0,0,0,0,0,0,4.2,150,4.1,168
1982,12,6,4,46,56,-95.06,14.011,0,24.8,0,4.9,120,0,0,0,0,0,0,0,0,0,0,5.3,166
1982,12,8,13,2,45.7,-106.909,22.576,0,10,0,0,0,5.3,132,0,0,0,0,0,0,0,0,5.5,165
1982,12,18,8,41,30,-106.722,20.617,0,115.5,0,4,120,0,0,0,0,0,0,0,0,0,0,4,166
1982,12,24,3,49,0,-94.63,14.52,0,33,0,0,0,4.3,132,0,0,0,0,0,0,0,0,5,165
1982,12,24,3,49,50,-94.585,15.156,0,48.9,0,5,124,0,0,0,0,0,0,0,0,0,0,5.4,166
1982,12,27,17,22,32,-98.898,15.413,0,33,0,4.1,124,0,0,0,0,0,0,0,0,0,0,4.2,166
1982,12,27,17,26,0,-99.346,14.133,0,25,0,0,0,0,0,0,0,0,0,0,0,4.1,150,4,168
1982,12,28,22,42,4,-111.904,25.451,0,10,0,4.7,120,0,0,0,0,0,0,0,0,0,0,5,166
1982,12,28,22,42,9.1,-111.601,26.027,0,10,0,4,128,0,0,0,0,0,0,0,0,0,0,4,166
1982,12,29,21,35,0,-105.02,19.08,0,33,0,0,0,3.1,132,0,0,0,0,0,0,0,0,4.7,165
1983,1,3,2,23,33.3,-111.111,28.296,0,10,0,4,128,0,0,0,0,0,0,0,0,0,0,4,166
1983,1,4,8,41,56.8,-93.039,17.101,0,10,0,4.2,128,0,0,0,0,0,0,0,0,0,0,4.3,166
1983,1,12,5,4,33.9,-94.744,17.616,0,156.8,0,4.2,128,0,0,0,0,0,0,0,0,0,0,4.3,166
