Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1909,10,31,10,23,0,-101.2,17,7,1,7,0,0,6.9,4,0,0,0,0,0,0,0,0,7.1,165
1910,5,31,4,57,0,-99.2,16.7,7,1,7,0,0,6.9,7,0,0,0,0,0,0,0,0,7.1,165
1910,9,24,3,32,42,-95.9,16.77,18,80,89,0,0,6.9,89; 102,0,0,0,0,0,0,0,0,7.1,165
1911,2,3,20,41,55,-97.6,17.8,19,80,89,0,0,7.2,102,6.5,89,0,0,0,0,0,0,7.4,165
1911,6,7,11,2,42,-103.7,19.7,2; 7; 15,50,13,0,0,7.7,5; 14; 103,7.9,2; 7; 4,7.6,43,0,0,0,0,7.6,164
1911,8,27,10,59,18,-96,17,19,100,89,0,0,6.7,89,0,0,0,0,0,0,0,0,6.9,165
1911,12,16,19,14,18,-100.7,16.9,2; 7,50,7; 13,0,0,7.6,14; 7; 4,7.8,4,7.3,43,0,0,0,0,7.3,164
1912,6,12,12,43,0,-89,17,0,1,0,0,0,6.8,132,0,0,0,0,0,0,0,0,6.8,165
1912,11,19,13,55,7,-99.83,19.93,2; 7,1,7,0,0,6.8,15,7,7,0,0,0,0,0,0,7,165
1912,12,9,8,32,24,-93,15.5,13,1,0,0,0,7.1,13,0,0,0,0,0,0,0,0,7.3,165
1914,3,30,0,41,18,-92,17,11,150,47,0,0,0,0,0,0,7.5,11,0,0,0,0,7.5,164
1915,9,7,1,20,48,-89,14,0,80,0,0,0,7.8,129,0,0,0,0,0,0,0,0,7.9,165
1915,11,21,0,13,22,-115,32,5,10,47,0,0,7.1,5; 103,0,0,7,43,0,0,0,0,7,164
1916,6,2,13,59,24,-95,17.5,2; 7,150,7,0,0,7,12,0,0,0,0,0,0,0,0,7.2,165
1916,11,21,6,25,24,-100,18,2; 7,1,7,0,0,6.8,15,7,7,0,0,0,0,0,0,7,165
1917,6,8,0,51,28,-91,14.5,20; 21,91,20; 21,0,0,7,20; 21,0,0,0,0,0,0,0,0,7.2,165
1917,10,19,16,36,50,-100,18,7,1,7,0,0,6.3,7,6.8,21,0,0,0,0,0,0,6.5,165
1917,12,29,22,50,20,-97,15,2; 7,1,7,0,0,7.1,7; 15,7.5,20; 21,6.9,43,0,0,0,0,6.9,164
1918,5,23,11,57,30,-111,27,22,10,0,0,0,6.8,89; 102,0,0,6.8,43,0,0,0,0,6.8,164
1918,6,7,21,27,6,-103.3,18.7,7,1,7,0,0,6.6,7; 18,6.8,21,0,0,0,0,0,0,6.8,165
1918,10,19,3,23,4.5,-90.023,13.88,0,35,0,0,0,0,0,0,0,6.6,159,0,0,0,0,6.6,164
1919,4,17,20,53,3,-92.2,14.8,9,1,0,0,0,7,9; 103,0,0,6.8,43,0,0,0,0,6.8,164
1920,1,4,4,21,56,-96.97,19.27,7,1,7,0,0,6.4,7; 14,7.8,105,0,0,0,0,0,0,6.6,165
1920,3,23,15,21,52.4,-93.521,16.145,0,15,0,0,0,0,0,0,0,6.2,159,0,0,0,0,6.2,164
1920,4,19,21,6,36,-97,19,22,110,89,0,0,6.7,102,0,0,0,0,0,0,0,0,6.9,165
1920,7,3,16,34,54.6,-94.062,15.16,0,25,0,0,0,0,0,0,0,5.8,159,0,0,0,0,5.8,164
1920,10,1,18,50,59.8,-99.346,16.278,0,10,0,0,0,0,0,0,0,5.9,159,0,0,0,0,5.9,164
1920,10,8,16,50,51,-91.449,16.663,0,10,0,0,0,0,0,0,0,6.3,159,0,0,0,0,6.3,164
1921,2,4,8,22,44,-91,15,9; 10; 6,120,10,0,0,7.2,9; 10,0,0,7,43,0,0,0,0,7,164
1921,3,6,7,25,13.1,-109.958,26.497,0,15,0,0,0,0,0,0,0,6.3,159,0,0,0,0,6.3,164
1921,3,28,7,49,30,-87.09,13.635,0,15,0,0,0,7.4,131,0,0,7.3,43,0,0,0,0,7.3,164
1921,4,21,20,1,36,-103.3,18.2,7,1,7,0,0,6.5,7,0,0,0,0,0,0,0,0,6.7,165
1921,5,1,5,38,56,-104.5,18.5,7,1,7,0,0,6.4,7,6.8,21,6.6,91,0,0,0,0,6.6,164
1922,6,12,4,47,44,-108.5,24,23,10,89,0,0,6.7,89,0,0,7,91,0,0,0,0,7,164
1922,6,12,10,42,43,-106.79,19.091,0,10,0,0,0,0,0,0,0,6,159,0,0,0,0,6,164
1923,8,28,23,15,13.1,-109.098,24.844,24,10,89,0,0,0,0,0,0,6.8,91,0,0,0,0,6.8,164
1924,4,21,20,0,59,-100.769,18.71,0,15,0,0,0,6.4,131,0,0,6.4,163,0,0,0,0,6.4,164
1925,5,26,8,19,54,-89.272,13.929,0,15,0,0,0,0,0,0,0,5.9,159,0,0,0,0,5.9,164
1925,8,7,7,47,48,-102,19,25,100,89,0,0,6.7,102,0,0,6.4,163,0,0,0,0,6.4,164
1925,8,29,22,36,44.3,-111.239,26.886,0,15,0,0,0,0,0,0,0,6.3,159,0,0,0,0,6.3,164
1925,11,16,11,54,54,-106.5,18.4,26,1,0,0,0,7,26,0,0,7,43,0,0,0,0,7,164
1925,11,28,12,33,16.5,-89.099,15.014,0,15,0,0,0,0,0,0,0,5.9,159,0,0,0,0,5.9,164
1925,12,10,14,14,42,-92.5,15.5,10; 20; 21,1,0,0,0,7,20; 21,7.1,10,0,0,0,0,0,0,7.2,165
1925,12,11,1,27,36.3,-91.318,16.097,0,15,0,0,0,0,0,0,0,6,159,0,0,0,0,6,164
1926,2,10,14,48,31.4,-86.254,13.067,0,15,0,0,0,0,0,0,0,5.7,159,0,0,0,0,5.7,164
1926,5,11,11,20,28,-106.439,19.995,0,15,0,0,0,6.2,131,0,0,6.2,163,0,0,0,0,6.2,164
1926,5,26,17,53,39.7,-88.386,13.351,0,15,0,0,0,0,0,0,0,5.7,159,0,0,0,0,5.7,164
1927,1,1,8,16,0,-115.5,32.5,0,1,0,0,0,5.7,132,0,0,0,0,0,0,0,0,5.8,165
1927,1,1,8,16,39.3,-115.119,28.659,0,15,0,0,0,0,0,0,0,6,159,0,0,0,0,6,164
1927,1,1,9,13,32.2,-115.206,29.359,0,15,0,0,0,0,0,0,0,6,159,0,0,0,0,6,164
1927,1,19,1,16,57.2,-102.436,18.088,0,35,0,0,0,0,0,0,0,5.7,159,0,0,0,0,5.7,164
1927,2,24,4,14,12.3,-92.165,14.581,0,35,0,0,0,0,0,0,0,5.9,159,0,0,0,0,5.9,164
1927,10,2,4,47,47.8,-87.716,13.553,0,15,0,0,0,0,0,0,0,6.1,159,0,0,0,0,6.1,164
1928,2,10,4,39,37.5,-97.99,18.26,27; 28,84,27,0,0,6.5,27; 28,0,0,0,0,0,0,0,0,6.7,165
1928,3,22,4,17,30,-95.45,16.23,2; 7; 15,1,7; 15; 4,0,0,7.5,12; 2; 16; 13,7.7,7; 4,7.6,43,0,0,0,0,7.6,164
1928,3,27,5,9,39.4,-91.601,16.967,0,15,0,0,0,0,0,0,0,5.7,159,0,0,0,0,5.7,164
1928,4,17,3,25,27.5,-96.44,17.69,28,115,28,0,0,6.7,47,0,0,6.5,91,0,0,0,0,6.5,164
1928,6,17,3,19,28.2,-96.7,16.33,2; 7,25,7; 20,0,0,8,7; 4,7.8,12; 2; 103,8,106,0,0,0,0,8,164
1928,8,4,18,28,17,-97.61,16.83,2; 7,1,7,0,0,7.4,12; 2; 16; 7; 13,7.6,4,7.2,43,0,0,0,0,7.2,164
1928,9,1,23,53,51.3,-95.803,14.865,0,15,0,0,0,0,0,0,0,6.1,159,0,0,0,0,6.1,164
1928,10,9,3,1,8,-97.3,16.3,2; 7; 15,33,7; 15,0,0,7.6,12; 2; 16; 13,7.8,7; 4,7.5,43,0,0,0,0,7.5,164
1928,11,1,4,12,54.5,-105.658,27.106,29,10,89,0,0,0,0,0,0,6.5,91,0,0,0,0,6.5,164
1928,11,28,1,23,8.3,-102.796,17.683,0,35,0,0,0,0,0,0,0,5.9,159,0,0,0,0,5.9,164
1929,1,24,20,36,45,-90.625,13.021,0,15,0,0,0,7,131,0,0,6.9,43,0,0,0,0,6.9,164
1929,1,31,18,5,42.6,-91.705,13.223,0,30,0,0,0,0,0,0,0,6,159,0,0,0,0,6,164
1929,2,10,15,39,4,-91.201,13.9,9,1,9,0,0,6.6,9,0,0,6.7,43,0,0,0,0,6.7,164
1929,2,13,22,13,41.2,-92.568,14.728,0,30,0,0,0,0,0,0,0,6,159,0,0,0,0,6,164
1929,4,7,19,32,13.7,-95.081,14.793,0,15,0,0,0,0,0,0,0,6.2,159,0,0,0,0,6.2,164
1929,5,27,23,56,2.7,-93.536,13.159,0,15,0,0,0,0,0,0,0,5.9,159,0,0,0,0,5.9,164
1929,7,30,7,43,49,-92.336,13.808,0,45,0,0,0,0,0,0,0,5.8,159,0,0,0,0,5.8,164
1929,8,17,23,40,36,-99,16.3,20; 21,1,0,0,0,7,20; 21,0,0,0,0,0,0,0,0,7.2,165
1929,9,27,23,16,0,-110.5,25,0,1,0,0,0,6,132,0,0,0,0,0,0,0,0,6,165
1929,9,27,23,16,16.5,-109.06,24.993,0,15,0,0,0,0,0,0,0,6.1,159,0,0,0,0,6.1,164
1930,2,26,2,29,20.6,-116.011,30.192,0,15,0,0,0,0,0,0,0,5.8,159,0,0,0,0,5.8,164
1930,5,10,22,11,10.8,-106.938,23.412,0,15,0,0,0,0,0,0,0,5.9,159,0,0,0,0,5.9,164
1930,7,14,22,40,39,-90.079,14.097,0,15,0,0,0,7,131,0,0,6.9,43,0,0,0,0,6.9,164
1931,1,2,9,49,2,-108.033,18.117,30,20,89,0,0,6.7,89,0,0,6.8,91,0,0,0,0,6.8,164
1931,1,15,1,50,40.2,-96.64,16.1,2; 7; 15; 31,40,7; 15; 32; 13,0,0,8,7,7.8,12; 27; 13; 102,7.6,43,0,0,0,0,7.6,164
1931,1,16,16,52,3,-85,15.75,0,35,0,0,0,5.6,129,0,0,0,0,0,0,0,0,5.7,165
1931,1,16,19,19,53.1,-96.37,16.44,7,1,7,0,0,6.5,7; 105,0,0,6.3,163,0,0,0,0,6.3,164
1931,1,25,12,34,0,-105,15,0,1,0,0,0,6,132,0,0,0,0,0,0,0,0,6,165
1931,2,7,3,30,35,-87,13,0,100,0,0,0,5.8,129,0,0,0,0,0,0,0,0,5.8,165
1931,3,31,16,2,21,-85.75,13.25,0,35,0,0,0,5.6,129,0,0,0,0,0,0,0,0,5.7,165
1931,4,1,13,13,50,-91.877,13.762,0,35,0,0,0,0,0,0,0,5.8,159,0,0,0,0,5.8,164
1931,4,19,2,0,33.1,-108.627,20.72,0,15,0,0,0,0,0,0,0,6,159,0,0,0,0,6,164
1931,5,9,10,34,0,-109.25,23.5,0,1,0,0,0,5.7,132,0,0,0,0,0,0,0,0,5.8,165
1931,5,9,10,34,45.7,-108.5,24.32,0,15,0,0,0,0,0,0,0,6,159,0,0,0,0,6,164
1931,7,7,3,54,0,-96,14,0,1,0,0,0,6.2,132,0,0,0,0,0,0,0,0,6.2,165
1931,7,27,7,16,23.3,-85.723,17.301,0,35,0,0,0,0,0,0,0,5.8,159,0,0,0,0,5.8,164
1931,8,16,11,40,25.5,-104.3,30.709,30,10,89,0,0,0,0,0,0,6.5,91,0,0,0,0,6.5,164
1931,9,26,19,50,0,-92,15,0,60,0,0,0,6,132,0,0,0,0,0,0,0,0,6,165
1931,9,26,20,3,0,-91.5,14.5,0,1,0,0,0,6.2,132,0,0,0,0,0,0,0,0,6.2,165
1931,10,1,11,45,40.1,-114.687,29.838,0,15,0,0,0,0,0,0,0,6.3,159,0,0,0,0,6.3,164
1931,10,26,4,25,8.9,-108.514,22.443,0,35,0,0,0,0,0,0,0,6,159,0,0,0,0,6,164
1931,11,2,0,32,3,-97,16,7,1,7,0,0,6.2,7,6.7,0,0,0,0,0,0,0,6.4,165
1931,11,14,13,51,0,-110,19,0,1,0,0,0,5.6,132,0,0,0,0,0,0,0,0,5.7,165
1932,3,10,23,1,0,-97,18.5,0,150,0,0,0,5.5,132,0,0,0,0,0,0,0,0,5.6,165
1932,3,14,4,6,4.4,-108.676,21.759,0,15,0,0,0,0,0,0,0,6.2,159,0,0,0,0,6.2,164
1932,4,24,6,10,55.1,-111.774,25.082,0,15,0,0,0,0,0,0,0,6.1,159,0,0,0,0,6.1,164
1932,4,29,16,52,28.1,-115.55,31.846,0,6,0,0,0,0,0,0,0,0,0,0,0,4.2,155,4.2,168
1932,5,21,10,10,3.7,-87.862,13.198,0,15,0,0,0,0,0,0,0,7.1,159,0,0,0,0,7.1,164
1932,6,3,10,36,52,-103.99,19.84,2; 7; 15; 31,16,13,0,0,8.2,12; 32; 13; 4; 102,8.4,7,8.1,43,0,0,0,0,8.1,164
1932,6,18,10,12,10,-103.5,19.5,2; 7; 15; 31; 32,16,13,0,0,8,7,7.8,12; 32; 31; 13; 4; 103,7.8,43,0,0,0,0,7.8,164
1932,6,22,12,59,27.5,-104.68,18.74,7; 32,1,7,0,0,7,7; 32; 105,0,0,7.7,43,0,0,0,0,7.7,164
1932,6,27,10,7,22.8,-116.091,31.53,0,6,0,0,0,0,0,0,0,0,0,0,0,4.8,155,4.7,168
1932,7,7,16,15,51,-113,29,30,10,89,0,0,6.7,89,0,0,6.9,91,0,0,0,0,6.9,164
1932,7,12,19,24,10,-110.05,26.083,30,10,89,0,0,6.7,89,0,0,6.8,91,0,0,0,0,6.8,164
1932,7,25,9,12,46.2,-103.93,18.87,7,1,7,0,0,6.9,7; 32; 105,0,0,6.8,43,0,0,0,0,6.8,164
1932,8,17,8,46,0,-91.5,15.5,0,40,0,0,0,5.6,132,0,0,0,0,0,0,0,0,5.7,165
1932,9,10,9,57,33.3,-116.756,31.517,0,6,0,0,0,0,0,0,0,0,0,0,0,4.1,155,4,168
1932,10,9,22,50,42.6,-115.43,32.64,0,6,0,0,0,0,0,0,0,0,0,0,0,4.5,155,4.4,168
1932,10,11,19,8,0,-110,24,0,1,0,0,0,5.6,132,0,0,0,0,0,0,0,0,5.7,165
1932,12,7,16,22,9,-104,19,7; 32,1,7,0,0,6.8,7,6.5,32,6.6,43,0,0,0,0,6.6,164
1932,12,19,6,28,0,-92.5,14,0,1,0,0,0,5.6,132,0,0,0,0,0,0,0,0,5.7,165
1933,1,24,15,39,0,-101.75,18.75,0,90,0,0,0,6.2,132,0,0,0,0,0,0,0,0,6.2,165
1933,1,27,16,27,55.4,-116.547,31.078,0,6,0,0,0,0,0,0,0,0,0,0,0,4.1,155,4,168
1933,2,18,19,45,0,-86,16.5,0,60,0,0,0,5.6,132,0,0,0,0,0,0,0,0,5.7,165
1933,4,9,3,58,17,-105,19.5,7; 32,1,7,0,0,6.6,7; 32,0,0,6.4,163,0,0,0,0,6.4,164
1933,5,8,10,33,40,-101,17.5,7,1,7,0,0,6.9,7,0,0,6.7,43,0,0,0,0,6.7,164
